x_cm,phi_g1,phi_g2,phi_g3,phi_g4
1.100000000000000000e+02,5.389258777695969531e+13,2.358096275203141797e+13,1.474504557711860352e+13,1.441251972687967969e+13
1.105000000000000000e+02,5.299316241086723438e+13,2.318741513729591797e+13,1.449896386257668945e+13,1.417198926298451953e+13
1.110000000000000000e+02,5.210811338289286719e+13,2.280015785223214453e+13,1.425681516020636133e+13,1.393530279020192188e+13
1.115000000000000000e+02,5.123720054361002344e+13,2.241908584636014062e+13,1.401853383767493555e+13,1.370239621194186914e+13
1.120000000000000000e+02,5.038018758850554688e+13,2.204409574500675000e+13,1.378405530060972656e+13,1.347320643711685938e+13
1.125000000000000000e+02,4.953684199199439844e+13,2.167508582185762109e+13,1.355331597716191211e+13,1.324767136644124414e+13
1.130000000000000000e+02,4.870693494280167969e+13,2.131195597181282031e+13,1.332625330246944922e+13,1.302572987843789062e+13
1.135000000000000000e+02,4.789024128063342188e+13,2.095460768417121875e+13,1.310280570308183789e+13,1.280732181523579492e+13
1.140000000000000000e+02,4.708653943407004688e+13,2.060294401616123047e+13,1.288291258139739453e+13,1.259238796823028711e+13
1.145000000000000000e+02,4.629561135962312500e+13,2.025686956682974219e+13,1.266651430015453711e+13,1.238087006366497461e+13
