x_cm,phi_g1,phi_g2,phi_g3,phi_g4
7.650000000000000000e+01,3.979784869350174219e+13,1.770382583335315234e+13,1.093324819145180859e+13,1.032485377035759961e+13
7.700000000000000000e+01,3.895596637913544531e+13,1.732963970275966797e+13,1.070240719367451367e+13,1.010698650894789453e+13
7.750000000000000000e+01,3.813985258772497656e+13,1.696684954546726562e+13,1.047856128560908203e+13,9.895711400461126953e+12
7.800000000000000000e+01,3.734895916360494531e+13,1.661522410018016016e+13,1.026157407678973633e+13,9.690899483244865234e+12
7.850000000000000000e+01,3.658275608761100781e+13,1.627453790726937109e+13,1.005131189794010352e+13,9.492424955082162109e+12
7.900000000000000000e+01,3.584073091007353125e+13,1.594457145212486523e+13,9.847643984548476562e+12,9.300165126122072266e+12
7.950000000000000000e+01,3.512238822460377734e+13,1.562511125945593164e+13,9.650442624728025391e+12,9.114000400919453125e+12
8.000000000000000000e+01,3.442724917598525781e+13,1.531594994788607227e+13,9.459583275938365234e+12,8.933814277888197266e+12
8.050000000000000000e+01,3.375485100334436719e+13,1.501688625267856055e+13,9.274944654768402344e+12,8.759493357965298828e+12
8.100000000000000000e+01,3.310474661334770312e+13,1.472772502298966406e+13,9.096408803583958984e+12,8.590927356864467773e+12
8.150000000000000000e+01,3.247650418024597656e+13,1.444827719894523242e+13,8.923861137449724609e+12,8.428009117190509766e+12
8.200000000000000000e+01,3.186970677360875391e+13,1.417835977294832227e+13,8.757190474354604492e+12,8.270634618057566406e+12
8.250000000000000000e+01,3.128395200629908594e+13,1.391779573873341406e+13,8.596289051410229492e+12,8.118702980837458008e+12
8.300000000000000000e+01,3.071885170581776172e+13,1.366641403117427539e+13,8.441052529361582031e+12,7.972116470356012695e+12
8.350000000000000000e+01,3.017403160427003906e+13,1.342404945920933789e+13,8.291379987445329102e+12,7.830780491332243164e+12
8.400000000000000000e+01,2.964913104608716016e+13,1.319054263385018750e+13,8.147173910358654297e+12,7.694603580173527344e+12
8.450000000000000000e+01,2.914380271125386719e+13,1.296573989285745703e+13,8.008340168857839844e+12,7.563497392443367188e+12
8.500000000000000000e+01,2.865771235344648438e+13,1.274949322339071875e+13,7.874787995290559570e+12,7.437376686438821289e+12
8.550000000000000000e+01,2.819053855457773828e+13,1.254166018371249219e+13,7.746429955175791016e+12,7.316159303376765625e+12
8.600000000000000000e+01,2.774197248861426172e+13,1.234210382470472266e+13,7.623181915778529297e+12,7.199766144709604492e+12
8.650000000000000000e+01,2.731171769907626562e+13,1.215069261194855078e+13,7.504963012483769531e+12,7.088121147085051758e+12
8.700000000000000000e+01,2.689948988853737500e+13,1.196730034889976758e+13,7.391695613648835938e+12,6.981151255441259766e+12
8.750000000000000000e+01,2.650501671754075391e+13,1.179180610156441211e+13,7.283305284505363281e+12,6.878786394694240234e+12
8.800000000000000000e+01,2.612803761489115625e+13,1.162409412504745898e+13,7.179720750590663086e+12,6.780959440434707031e+12
8.850000000000000000e+01,2.576830359565080078e+13,1.146405379220286719e+13,7.080873861108889648e+12,6.687606189009181641e+12
8.900000000000000000e+01,2.542557709000903906e+13,1.131157952464398828e+13,6.986699552556276367e+12,6.598665327318355469e+12
8.950000000000000000e+01,2.509963178130285547e+13,1.116657072625665430e+13,6.897135812887158203e+12,6.514078402625152344e+12
9.000000000000000000e+01,2.479025245017737891e+13,1.102893171930056250e+13,6.812123646449078125e+12,6.433789792627084961e+12
9.050000000000000000e+01,2.449723482930421094e+13,1.089857168325642773e+13,6.731607039875994141e+12,6.357746676013060547e+12
9.100000000000000000e+01,2.422038546523618359e+13,1.077540459644467773e+13,6.655532929093453125e+12,6.285899003693115234e+12
9.150000000000000000e+01,2.395952158723112891e+13,1.065934918046393359e+13,6.583851167561369141e+12,6.218199470861813477e+12
9.200000000000000000e+01,2.371447098532427344e+13,1.055032884751565820e+13,6.516514495856715820e+12,6.154603490031379883e+12
9.250000000000000000e+01,2.348507189417912891e+13,1.044827165059144141e+13,6.453478512677830078e+12,6.095069165148895508e+12
9.300000000000000000e+01,2.327117288465078906e+13,1.035311023656264062e+13,6.394701647336354492e+12,6.039557266893339844e+12
9.350000000000000000e+01,2.307263276293542578e+13,1.026478180217913477e+13,6.340145133789153320e+12,5.988031209231890625e+12
9.400000000000000000e+01,2.288932047661625000e+13,1.018322805296631836e+13,6.289772986251127930e+12,5.940457027301285156e+12
9.450000000000000000e+01,2.272111502669871094e+13,1.010839516500479688e+13,6.243551976420878906e+12,5.896803356668378906e+12
9.500000000000000000e+01,2.256790538805203516e+13,1.004023374961814648e+13,6.201451612344225586e+12,5.857041414013535156e+12
9.550000000000000000e+01,2.242959043390703516e+13,9.978698820905056641e+12,6.163444118933817383e+12,5.821144979273046875e+12
9.600000000000000000e+01,2.230607887021328906e+13,9.923749766184503906e+12,6.129504420159832031e+12,5.789090379268933594e+12
9.650000000000000000e+01,2.219728917486889453e+13,9.875350319275382812e+12,6.099610122920986328e+12,5.760856472849439453e+12
9.700000000000000000e+01,2.210314954300550781e+13,9.833468536614136719e+12,6.073741502603506836e+12,5.736424637558090820e+12
9.750000000000000000e+01,2.202359783957586719e+13,9.798076776220328125e+12,6.051881490333179688e+12,5.715778757845773438e+12
9.800000000000000000e+01,2.195858155838856641e+13,9.769151679489910156e+12,6.034015661923954102e+12,5.698905214837021484e+12
9.850000000000000000e+01,2.190805778721091797e+13,9.746674155800994141e+12,6.020132228524986328e+12,5.685792877658837891e+12
9.900000000000000000e+01,2.187199317908408984e+13,9.730629369927720703e+12,6.010222028967420898e+12,5.676433096338678711e+12
9.950000000000000000e+01,2.185036393105351172e+13,9.721006732270630859e+12,6.004278523811671875e+12,5.670819696276216797e+12
1.000000000000000000e+02,2.184315576739828516e+13,9.717799891859742188e+12,6.002297791095129883e+12,5.668948974292429688e+12
1.005000000000000000e+02,2.185036393048775781e+13,9.721006732170162109e+12,6.004278523780909180e+12,5.670819696258123047e+12
1.010000000000000000e+02,2.187199317783012109e+13,9.730629369729818359e+12,6.010222028907403320e+12,5.676433096303308594e+12
1.015000000000000000e+02,2.190805778525323828e+13,9.746674155515589844e+12,6.020132228438701172e+12,5.685792877607793945e+12
1.020000000000000000e+02,2.195858155620789062e+13,9.769151679138291016e+12,6.034015661815744141e+12,5.698905214772585938e+12
1.025000000000000000e+02,2.202359783709475000e+13,9.798076775819119141e+12,6.051881490208271484e+12,5.715778757770764648e+12
1.030000000000000000e+02,2.210314954052719531e+13,9.833468536186070312e+12,6.073741502467820312e+12,5.736424637475729492e+12
1.035000000000000000e+02,2.219728917238663281e+13,9.875350318839328125e+12,6.099610122780702148e+12,5.760856472763141602e+12
1.040000000000000000e+02,2.230607886792578906e+13,9.923749765761181641e+12,6.129504420021128906e+12,5.789090379182141602e+12
1.045000000000000000e+02,2.242959043166104297e+13,9.978698820509591797e+12,6.163444118802585938e+12,5.821144979189068359e+12
1.050000000000000000e+02,2.256790538626578516e+13,1.004023374927163086e+13,6.201451612225881836e+12,5.857041413935354492e+12
1.055000000000000000e+02,2.272111502532432031e+13,1.010839516471928711e+13,6.243551976320005859e+12,5.896803356598482422e+12
1.060000000000000000e+02,2.288932047545423438e+13,1.018322805274891211e+13,6.289772986171319336e+12,5.940457027241556641e+12
1.065000000000000000e+02,2.307263276220490625e+13,1.026478180204041406e+13,6.340145133733017578e+12,5.988031209183489258e+12
1.070000000000000000e+02,2.327117288414065234e+13,1.035311023650572266e+13,6.394701647305312500e+12,6.039557266856606445e+12
1.075000000000000000e+02,2.348507189417882422e+13,1.044827165062397656e+13,6.453478512672062500e+12,6.095069165123247070e+12
1.080000000000000000e+02,2.371447098606803125e+13,1.055032884764093945e+13,6.516514495874994141e+12,6.154603490015277344e+12
1.085000000000000000e+02,2.395952158826543750e+13,1.065934918067169141e+13,6.583851167600835938e+12,6.218199470852729492e+12
1.090000000000000000e+02,2.422038546668321094e+13,1.077540459672906836e+13,6.655532929149843750e+12,6.285899003687557617e+12
1.095000000000000000e+02,2.449723483155960156e+13,1.089857168361132031e+13,6.731607039943558594e+12,6.357746676006574219e+12
1.100000000000000000e+02,2.479025245277726953e+13,1.102893171970310352e+13,6.812123646520495117e+12,6.433789792614349609e+12
1.105000000000000000e+02,2.509963178419491797e+13,1.116657072668511719e+13,6.897135812953875977e+12,6.514078402600106445e+12
1.110000000000000000e+02,2.542557709299525391e+13,1.131157952507223633e+13,6.986699552608716797e+12,6.598665327274331055e+12
1.115000000000000000e+02,2.576830359850298438e+13,1.146405379260327930e+13,7.080873861136791016e+12,6.687606188939061523e+12
1.120000000000000000e+02,2.612803761787372266e+13,1.162409412539818555e+13,7.179720750583390625e+12,6.780959440331156250e+12
1.125000000000000000e+02,2.650501672035969141e+13,1.179180610183494531e+13,7.283305284452038086e+12,6.878786394549875000e+12
1.130000000000000000e+02,2.689948989079473828e+13,1.196730034905834375e+13,7.391695613538704102e+12,6.981151255248869141e+12
1.135000000000000000e+02,2.731171770112322266e+13,1.215069261197466211e+13,7.504963012306654297e+12,7.088121146837828125e+12
1.140000000000000000e+02,2.774197249018036328e+13,1.234210382457052148e+13,7.623181915524916992e+12,7.199766144401326172e+12
1.145000000000000000e+02,2.819053855559496875e+13,1.254166018339352539e+13,7.746429954837212891e+12,7.316159303002019531e+12
